uid,name,date,sunrise_topo,sunset_topo,sun_hours_topo
71,Big Brother is watching you - Freiwandspitze,2025-11-01,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-02,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-03,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-04,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-05,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-06,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-07,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-08,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-09,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-10,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-11,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-12,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-13,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-14,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-15,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-16,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-17,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-18,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-19,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-20,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-21,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-22,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-23,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-24,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-25,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-26,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-27,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-28,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-29,,,0
71,Big Brother is watching you - Freiwandspitze,2025-11-30,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-01,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-02,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-03,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-04,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-05,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-06,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-07,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-08,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-09,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-10,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-11,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-12,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-13,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-14,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-15,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-16,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-17,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-18,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-19,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-20,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-21,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-22,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-23,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-24,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-25,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-26,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-27,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-28,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-29,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-30,,,0
71,Big Brother is watching you - Freiwandspitze,2025-12-31,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-01,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-02,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-03,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-04,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-05,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-06,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-07,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-08,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-09,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-10,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-11,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-12,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-13,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-14,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-15,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-16,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-17,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-18,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-19,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-20,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-21,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-22,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-23,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-24,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-25,,,0
71,Big Brother is watching you - Freiwandspitze,2026-01-26,,,0
